text,language
"Hello, how are you?",English
"I am fine, thank you!",English
"Good morning, have a nice day.",English
"नमस्ते, कैसे हो?",Hindi
"आपका दिन शुभ हो।",Hindi
"मुझे किताबें पढ़ना पसंद है।",Hindi
"வணக்கம், எப்படி இருக்கிறாய்?",Tamil
"நன்றி! நான் நலம்.",Tamil
"இன்று நல்ல நாளாக இருக்கும்.",Tamil
"హలో, మీరు ఎలా ఉన్నారు?",Telugu
"శుభోదయం!",Telugu
"నేను బాగున్నాను.",Telugu
"ഹലോ, സുഖമാണോ?",Malayalam
"എനിക്ക് സന്തോഷമാണ്.",Malayalam
"ശുഭ രാത്രി!",Malayalam
"Bonjour, comment ça va?",French
"Bonne journée!",French
"J'aime apprendre le français.",French
"Hola, ¿cómo estás?",Spanish
"Buenos días, amigo.",Spanish
"Me gusta aprender español.",Spanish
"Guten Morgen, wie geht's?",German
"Ich liebe Programmieren.",German
"Schönen Tag noch!",German
